"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Rank","D_Score","E_Score","Penalty","Score","FullName","HB","PH","FX","PB","SR","VT","BB","UB","Total"
"LEE","Junho","m","KOR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",85,5.3,7.433,NA,12.733,"Junho_LEE",12.233,12.633,12.733,13.266,13.433,14.3553333333333,NA,NA,78.6533333333333
"VERKEST","Jutta","w","BEL","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",85,5.2,6.133,NA,11.333,"Jutta_VERKEST",NA,NA,12.3858333333333,NA,NA,10.7776666666667,11.9364,12.922,48.0219
"NG","Ka Ki","m","HKG","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",57,5.6,7.8,NA,13.4,"Ka Ki_NG",NA,NA,NA,NA,NA,13.75825,NA,NA,13.75825
"PRATLEY","Kacey","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",60,3.9,5.05,0,8.95,"Kacey_PRATLEY",NA,NA,11.7,NA,NA,12,10.4,11.675,45.775
"GARNCZAREK","Kacper","m","POL","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",106,4.9,7.4,0.1,12.2,"Kacper_GARNCZAREK",12.866,12.9,12.2,13.033,12.2,13.466,NA,NA,76.665
"TANSKANEN","Kaia","w","FIN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",111,4.7,6,NA,10.7,"Kaia_TANSKANEN",NA,NA,12.63325,NA,NA,13.0598,11.522,11.9555,49.17055
"LIM","Kaitlyn","w","SGP","29 Jul-2 Aug 2022","BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England",21,4.5,6.9,NA,11.4,"Kaitlyn_LIM",NA,NA,11.05,NA,NA,NA,11.4,NA,22.45
"SUGIMOTO","Kaito","m","JPN","1-5 Aug 2023","2023 FISU World University Games","final","Chengdu, China",3,5.5,8.733,NA,14.23,"Kaito_SUGIMOTO",14.165,12.333,NA,14.883,14.1,NA,NA,NA,55.481
"SKALSKA","Kaja","w","POL","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",84,4.8,5.366,NA,10.166,"Kaja_SKALSKA",NA,NA,10.683,NA,NA,11.8216666666667,11.116,10.933,44.5536666666667
"TANIGAWA","Kakeru","m","JPN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",9,5.8,8.5,NA,14.3,"Kakeru_TANIGAWA",13.6,14.444,14.275,13.8915,13.3415,9.472,NA,NA,79.024
"NELSON","Kameron","m","USA","27-30 Apr 2023","World Cup","final","Cairo, Egypt",8,6,5.8,NA,11.8,"Kameron_NELSON",NA,NA,12.6,NA,NA,14.183,NA,NA,26.783
"DIAZ","Karelys","w","PUR","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",14,4.4,6.5,NA,10.9,"Karelys_DIAZ",NA,NA,11.95,NA,NA,12.375,10.75,11.4,46.475
"CUBILLOS","Karen","w","COL","24-28 Jun 2023","2023 Central American and Caribbean Games","qual","San Salvador, El Salvador",17,4,7.05,NA,11.05,"Karen_CUBILLOS",NA,NA,NA,NA,NA,NA,11.05,11.75,22.8
"SCHOENMAIER","Karina","w","GER","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",20,4.4,7.266,NA,11.666,"Karina_SCHOENMAIER",NA,NA,12.583,NA,NA,13.233,11.7995,12.4165,50.032
"SCHÖNMAIER","Karina","w","GER","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",25,4.9,7.2,NA,12.1,"Karina_SCHÖNMAIER",NA,NA,12.15,NA,NA,13.08325,12.1,NA,37.33325
"IDESJOE","Karl","m","SWE","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",80,5,7.7,0.1,12.6,"Karl_IDESJOE",12.0995,7.866,12.65,13.433,13.20775,13.0165,NA,NA,72.27275
"NAVAS BOYD","Karla Andrea","w","PAN","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",2,4.5,7.85,NA,12.35,"Karla Andrea_NAVAS BOYD",NA,NA,11.975,NA,NA,13.3,12,12.9,50.175
"NAVAS","Karla","w","PAN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",143,4.8,4.433,0.4,8.833,"Karla_NAVAS",NA,NA,12.133,NA,NA,13.066,8.833,11.066,45.098
"NAVAS BOYD","Karla","w","PAN","24-28 Jun 2023","2023 Central American and Caribbean Games","final","San Salvador, El Salvador",4,4.6,8.7,NA,13.3,"Karla_NAVAS BOYD",NA,NA,NA,NA,NA,12.275,NA,NA,12.275
"Visagie","Karma","w","RSA","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",19,4.7,6.533,NA,11.233,"Karma_Visagie",NA,NA,NA,NA,NA,12.083,11.233,NA,23.316
"ADAPA","Karthik","m","CAY","29 Jul-2 Aug 2022","BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England",34,4,6.6,NA,10.6,"Karthik_ADAPA",10.15,9.1,10.6,11.15,10,11.6,NA,NA,62.6
"","Kate","w","AUS","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",110,5.1,5.633,NA,10.733,"Kate_",NA,NA,NA,NA,NA,NA,12.383,13.3663333333333,25.7493333333333
"MCDONALD","Kate","w","AUS","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",32,5,6.7,NA,11.7,"Kate_MCDONALD",NA,NA,11.85,NA,NA,NA,11.7,12.55,36.1
"MOLLOY","Kate","w","IRL","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",108,4.6,4.866,NA,9.466,"Kate_MOLLOY",NA,NA,10.7,NA,NA,12.1,10.333,10.1995,43.3325
"SAYER","Kate","w","AUS","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",20,4.9,7.25,NA,12.15,"Kate_SAYER",NA,NA,12.15,NA,NA,6.625,NA,12.1,30.875
"Palicka","Katrin","w","AUT","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel",23,3.9,5.033,NA,8.933,"Katrin_Palicka",NA,NA,12,NA,NA,NA,8.933,11.267,32.2
"Jurevica","Katrina","w","","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",9,4.2,8.4,NA,12.6,"Katrina_Jurevica",NA,NA,NA,NA,NA,12.4,NA,NA,12.4
"JUREVICA","Katrina","w","LAT","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",80,4.6,5.666,NA,10.266,"Katrina_JUREVICA",NA,NA,11.122,NA,NA,12.0996666666667,10.4216666666667,9.7,43.3433333333333
"GAMAGE","Kaushini","w","SRI","29 Jul-2 Aug 2022","BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England",38,2.7,5.3,NA,8,"Kaushini_GAMAGE",NA,NA,7.85,NA,NA,NA,8,7,22.85
"MATSUMI","Kazuki","m","JPN","9-12 Mar 2023","World Cup","qual","Baku, Azerbaijan",13,6.1,7.466,0.1,13.466,"Kazuki_MATSUMI",14.133,12.866,13.466,14.6995,13.733,NA,NA,NA,68.8975
"MINAMI","Kazuki","m","JPN","1-5 Aug 2023","2023 FISU World University Games","final","Chengdu, China",4,6.4,7.333,0.1,13.63,"Kazuki_MINAMI",NA,NA,14.13225,NA,NA,14.6398,NA,NA,28.77205
"KAYA","Kazuma","m","JPN","1-5 Aug 2023","2023 FISH World University Games","AAfinal","Chengdu, China",16,5.7,7.2,NA,12.9,"Kazuma_KAYA",14.07475,14.459,13.7924,14.6524,13.9995,14.298,NA,NA,85.27605
"ROLSTON LARKING","Keira","w","NZL","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",102,4.6,6.466,0.1,10.966,"Keira_ROLSTON LARKING",NA,NA,11.833,NA,NA,11.733,10.966,10.833,45.365
"THORNTON","Keira","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",57,4.3,5.1,0.1,9.3,"Keira_THORNTON",NA,NA,11.75,NA,NA,12.8125,11.2666666666667,11.875,47.7041666666667
"SIMM","Kelly","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",28,4.8,6.1,0,10.9,"Kelly_SIMM",NA,NA,12.875,NA,NA,12.75,10.9,12.7,49.225
"CHAM","Kelvin","m","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",15,5.2,7.9,0,13.1,"Kelvin_CHAM",12.35,10.6,13.1,11.9,13,13.1,NA,NA,74.05
"TAMANE","Kenji","m","CAN","29 Jul-2 Aug, 2023","BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England",6,5,8.1,NA,13.1,"Kenji_TAMANE",9.83333333333333,11.78325,12.9666666666667,13.2833333333333,13,13.175,NA,NA,74.0415833333333
"SENER","Kerem","m","TUR","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",110,5.2,4.866,0.3,9.766,"Kerem_SENER",12.833,10.8776666666667,12.087,13.133,13.4662,11.0443333333333,NA,NA,73.4412
"BUCKLEY","Kevin George","m","SLO","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",109,4.4,7.6,NA,12,"Kevin George_BUCKLEY",11.8106666666667,13.055,12,10.383,12,12.733,NA,NA,71.9816666666667
"CROVETTO","Kevin","m","MON","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",107,4.4,7.666,NA,12.066,"Kevin_CROVETTO",12.166,6.4,12.066,10.266,12.233,13.1,NA,NA,66.231
"ESPINOSA","Kevin","m","PAN","24-28 Jun 2023","2023 Central American and Caribbean Games","qual","San Salvador, El Salvador",31,3.8,6.55,NA,10.35,"Kevin_ESPINOSA",NA,NA,10.35,10.35,NA,NA,NA,NA,20.7
"Penev","Kevin","m","","8-11 Jun 2023","2023 Osijek Challenge Cup","final","Osijek, Croatia.",8,5.8,6.7,NA,12.5,"Kevin_Penev",NA,13.1,13.3,NA,NA,NA,NA,NA,26.4
"PENEV","Kevin","m","BUL","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",29,5.6,7.966,NA,13.566,"Kevin_PENEV",12.233,12.1,12.708,11.866,12.9,13.9,NA,NA,75.707
"ERGASHEV","Khabibullo","m","UZB","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",86,4.9,7.8,NA,12.7,"Khabibullo_ERGASHEV",12.0996666666667,13.7165,12.7,13.1553333333333,12.772,13.7,NA,NA,78.1435
"BUI","Kim","w","GER","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",17,4.9,7.933,NA,12.833,"Kim_BUI",NA,NA,12.9495,NA,NA,13.183,12.833,13.8996666666667,52.8651666666667
"VANSTROEM","Kim","m","SWE","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",92,5.3,7.033,NA,12.333,"Kim_VANSTROEM",12.333,NA,12.333,12.633,12.4,NA,NA,NA,49.699
"VANSTROM","Kim","m","SWE","1-4 Mar 2023","World Cup","final","Doha, Qatar",7,5.8,7.566,NA,13.366,"Kim_VANSTROM",12.066,NA,13.516,NA,NA,NA,NA,NA,25.582
"SMITH","Kiplin Morrish","m","AUS","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",77,4.3,6.866,0.3,10.866,"Kiplin Morrish_SMITH",12.766,11.733,10.866,NA,NA,12.933,NA,NA,48.298
"Smith","Kiplin","m","AUS","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",10,4.6,8.3,NA,12.9,"Kiplin_Smith",11.35,11.8666666666667,NA,NA,NA,12.9,NA,NA,36.1166666666667
"Rampono","Kirsten","w","RSA","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel",14,4.5,5.867,NA,10.367,"Kirsten_Rampono",NA,NA,NA,NA,NA,11.483,NA,10.367,21.85
"FOWLER","Kirsty","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",49,4.6,5.3,0,9.9,"Kirsty_FOWLER",NA,NA,10.7,NA,NA,12.525,9.9,9.7,42.825
"PETERKOVA","Klara","w","CZE","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",121,5,5.433,NA,10.433,"Klara_PETERKOVA",NA,NA,11.5663333333333,NA,NA,12.2,11.155,10.8886666666667,45.81
"USHIOKU","Kohane","w","JPN","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",6,5.4,7.766,0.3,12.866,"Kohane_USHIOKU",NA,NA,12.866,NA,NA,9.749,NA,NA,22.615
"MAEDA","Koki","m","JPN","1-4 Mar 2023","World Cup","final","Doha, Qatar",4,5.9,8.8,NA,14.7,"Koki_MAEDA",NA,13.933,NA,14.45,13.533,NA,NA,NA,41.916
"FUKASAWA","Kokoro","w","JPN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",25,6.2,7.3,NA,13.5,"Kokoro_FUKASAWA",NA,NA,NA,NA,NA,13.333,12.183,12.4553333333333,37.9713333333333
"MARAGKOU","Konstantina","w","GRE","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",138,3.5,6.2,NA,9.7,"Konstantina_MARAGKOU",NA,NA,11.3,NA,NA,NA,11.1,10.0665,32.4665
"KONSTANTINIDIS","Konstantinos","m","GRE","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",59,6,7.033,NA,13.033,"Konstantinos_KONSTANTINIDIS",NA,NA,NA,NA,13.4932,NA,NA,NA,13.4932
"FELLOWS","Korben","m","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",12,5.2,7.5,0,12.7,"Korben_FELLOWS",12.7,12.575,NA,NA,12.75,NA,NA,NA,38.025
"YERBOSSYNKYZY","Korkem","w","KAZ","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",142,4.3,4.9,NA,9.2,"Korkem_YERBOSSYNKYZY",NA,NA,10.3,NA,NA,11.666,9.2,10.633,41.799
"DANISHEVSKI","Kristian Aleksi","m","FIN","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",49,5,7.8,NA,12.8,"Kristian Aleksi_DANISHEVSKI",NA,NA,12.8,NA,NA,13.3495,NA,NA,26.1495
"Zivadinovic","Kristina","w","","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",29,4.2,5.366,NA,9.566,"Kristina_Zivadinovic",NA,NA,11.333,NA,NA,NA,9.566,NA,20.899
"ZIVADINOVIC","Kristina","w","SRB","25-28 May 2023","2023 Varna World Challenge Cup Results","qual","Varna, Bulgaria",29,4.4,4.633,0.1,8.933,"Kristina_ZIVADINOVIC",NA,NA,NA,NA,NA,NA,8.933,NA,8.933
"BOHORQUEZ","Kristopher","m","COL","24-28 Jun 2023","2023 Central American and Caribbean Games","final","San Salvador, El Salvador",1,5.6,8.3,NA,13.9,"Kristopher_BOHORQUEZ",NA,NA,NA,NA,13.5,NA,NA,NA,13.5
"BALAZS","Krisztian","m","HUN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",22,5.3,7.633,0.1,12.833,"Krisztian_BALAZS",13.6441666666667,12.7132,12.88275,13.993,12.9665,13.29125,NA,NA,79.4908666666667
"Meszaros","Krisztofer","m","HUN","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",4,6,8.2,NA,14.2,"Krisztofer_Meszaros",12.8166666666667,14.22075,14.10825,14.1915,11.85,13.6083333333333,NA,NA,80.7955
"MESZAROS","Krisztofer","m","HUN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",15,5.8,7.9,NA,13.7,"Krisztofer_MESZAROS",12.9711428571429,12.9885,14.1331428571429,14.1106666666667,13.1441666666667,13.9165,NA,NA,81.264119047619
"ABEYRATNE","Kumudi Imanya","w","SRI","29 Jul-2 Aug 2022","BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England",36,3.9,5.2,NA,9.1,"Kumudi Imanya_ABEYRATNE",NA,NA,7.35,NA,NA,NA,9.1,5.5,21.95
"RUTTER","Kurtis","m","GBR","23-26 Mar 2023","2023 British Gymnastics Championships","qual","Liverpool, England",27,4.6,6.2,0,10.8,"Kurtis_RUTTER",8.5,7.45,10.8,11,12.15,12.95,NA,NA,62.85
"DAVIS","Lachlan Kent","m","AUS","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",61,4.9,7.6,0.3,12.2,"Lachlan Kent_DAVIS",NA,12.633,12.2,12.633,11.9,13.4965,NA,NA,62.8625
"SMITH","Lachlan Robert","m","AUS","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",52,4.7,7.7,NA,12.4,"Lachlan Robert_SMITH",12.4,11.933,NA,12.233,12.266,NA,NA,NA,48.832
"SALEM","Lahna","w","ALG","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",126,4.1,6.133,NA,10.233,"Lahna_SALEM",NA,NA,10.733,NA,NA,12.033,10.4995,10.3995,43.665
"FONT","Laia","w","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",43,4.8,6.733,NA,11.533,"Laia_FONT",NA,NA,12.4165,NA,NA,12.7404444444444,11.533,11.733,48.4229444444444
"Masferrer","Laia","w","ESP","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel",14,4.7,7,NA,11.7,"Laia_Masferrer",NA,NA,11.7,NA,NA,12.3335,NA,11.5835,35.617
"MASFERRER","Laia","w","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",63,4.6,7.133,NA,11.733,"Laia_MASFERRER",NA,NA,NA,NA,NA,12.866,12.1995,11.3,36.3655
"NAJJAR","Lais","m","SYR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",54,5.3,7.966,NA,13.266,"Lais_NAJJAR",11.466,12.533,13.266,13.333,12,13.5,NA,NA,76.098
"HERRERA","Lana","w","PAN","27-30 Apr 2023","World Cup","qual","Cairo, Egypt",37,4,4.7,NA,8.7,"Lana_HERRERA",NA,NA,11.833,NA,NA,12.5495,8.7,11.9,44.9825
"HERRERA RODRIGUEZ","Lana","w","PAN","24-28 Jun 2023","2023 Central American and Caribbean Games","qual","San Salvador, El Salvador",27,4.6,5.5,NA,10.1,"Lana_HERRERA RODRIGUEZ",NA,NA,12.475,NA,NA,12.85,10.1,12.2,47.625
"BLIXT","Landen Paul","m","USA","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",59,5.4,7.533,0.6,12.333,"Landen Paul_BLIXT",13.3,12.633,12.333,13.566,12.5,14.7,NA,NA,79.032
"DEMARSICO","Lara Albertina","w","ARG","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",21,4.1,7.533,NA,11.633,"Lara Albertina_DEMARSICO",NA,NA,11.366,NA,NA,11.66,11.633,10.733,45.392
"Crnjac","Lara","w","SLO","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",17,3.6,7.733,NA,11.333,"Lara_Crnjac",NA,NA,NA,NA,NA,NA,NA,11.333,11.333
"CRNJAC","Lara","w","SLO","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",20,4.3,7.533,NA,11.833,"Lara_CRNJAC",NA,NA,NA,NA,NA,NA,NA,11.833,11.833
"SPEERS","Lara","w","GBR","23-26 Mar 2023","2023 British Gymnastics Championships","qual","Liverpool, England",42,3.9,5.6,0,9.5,"Lara_SPEERS",NA,NA,10.85,NA,NA,12.5,9.5,10.8,43.65
"CASABUENA","Laura","w","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",24,5,2.6,0.1,7.5,"Laura_CASABUENA",NA,NA,12.8812222222222,NA,NA,12.8498,11.5378571428571,12.6474285714286,49.9163079365079
"NELSON","Laura","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",56,4.2,5.3,0.1,9.4,"Laura_NELSON",NA,NA,11,NA,NA,12.6166666666667,9.825,10.1,43.5416666666667
"DUCAS","Lauren","w","CUB","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",19,4.5,5.75,NA,10.25,"Lauren_DUCAS",NA,NA,11,NA,NA,11.45,10.575,8.175,41.2
"DENOMMEE","Laurie","w","CAN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",22,5.3,7.966,NA,13.266,"Laurie_DENOMMEE",NA,NA,13.022,NA,NA,13.21,11.3,12.5886666666667,50.1206666666667
"GIANNINI","Lay","m","ITA","1-5 Aug 2023","2023 FISH World University Games","AAfinal","Chengdu, China",12,5.4,8,0.1,13.3,"Lay_GIANNINI",13.4,12.7166666666667,13.4,13.374,13.1495,10.454,NA,NA,76.4941666666667
"QUAAS","Lea Marie","w","GER","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",70,4.9,6.7,NA,11.6,"Lea Marie_QUAAS",NA,NA,11.9996666666667,NA,NA,13.133,11.3666666666667,12.7,49.1993333333333
"Franceries","Lea","w","FRA","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","final","Tel Aviv, Israel",3,5.3,7.533,NA,12.833,"Lea_Franceries",NA,NA,NA,NA,NA,12.4835,12.9165,NA,25.4
"FRANCERIES","Léa","w","FRA","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","final","Stuttgart, Germany",3,5.4,7.333,NA,12.733,"Léa_FRANCERIES",NA,NA,13,NA,NA,6.5,12.9665,NA,32.4665
"QUAAS","Lea","w","GE1","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",28,5.3,6.7,NA,12,"Lea_QUAAS",NA,NA,11.85,NA,NA,6.475,12,12.3,42.625
"WARTMANN","Lea","w","GE2","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",29,4.8,7.05,NA,11.85,"Lea_WARTMANN",NA,NA,NA,NA,NA,NA,11.85,NA,11.85
"SAUVE","Leandre","m","CAN","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",29,5.6,7.65,NA,13.25,"Leandre_SAUVE",NA,NA,13.25,NA,NA,13.325,NA,NA,26.575
"PENA","Leandro","m","DOM","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",104,5.1,7.166,NA,12.266,"Leandro_PENA",12.1625,9.77766666666667,12.2386666666667,12.5886666666667,12.0333333333333,13.2832,NA,NA,72.0840333333333
"WONG","Leanne","w","USA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",21,5,8.766,NA,13.766,"Leanne_WONG",NA,NA,NA,NA,NA,13.433,NA,NA,13.433
"PENGKEREGO RAVENSCROFT","Leasha","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",34,5,5.75,0,10.75,"Leasha_PENGKEREGO RAVENSCROFT",NA,NA,11.6,NA,NA,12.4666666666667,10.75,10.8,45.6166666666667
"MARTINEZ","Leila","w","ARG","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",108,5,5.8,NA,10.8,"Leila_MARTINEZ",NA,NA,12.1,NA,NA,12.666,10.8,NA,35.566
"BICKEL","Lena","w","SUI","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",90,5.1,4.9,NA,10,"Lena_BICKEL",NA,NA,13.033,NA,NA,13.366,10,11.233,47.632
"BOHLE","Leni","w","AUT","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",84,4.8,5.366,NA,10.166,"Leni_BOHLE",NA,NA,NA,NA,NA,13,10.166,NA,23.166
"SALADINO","Leo","m","FRA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",68,5.5,7.866,0.3,13.066,"Leo_SALADINO",12.4262,12.5796,13.5928,13.9862,13.3664,14.091375,NA,NA,80.042575
"SALADINO","Léo","m","FRA","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",22,5.5,8.05,NA,13.55,"Léo_SALADINO",12.55,11.2,13.55,14.05,13.55,6.875,NA,NA,71.775
"PRÜGEL","Leonard","m","GE2","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",51,5.3,6.25,NA,11.55,"Leonard_PRÜGEL",11.55,12.8,NA,13.75,NA,6.55,NA,NA,44.65
"SKHILADZE","Levan","m","GEO","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",72,4.2,8.233,NA,12.433,"Levan_SKHILADZE",11.7165,12.511,NA,11.7773333333333,12.7996666666667,NA,NA,NA,48.8045
"YEOH","Li Wen Rachel","w","MAS","29 Jul-2 Aug 2022","BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England",16,4.8,7,NA,11.8,"Li Wen Rachel_YEOH",NA,NA,NA,NA,NA,NA,NA,11.8,11.8
"YEOH","Li Wen","w","MAS","27-30 Apr 2023","World Cup","qual","Cairo, Egypt",21,4.9,6.766,0.3,11.366,"Li Wen_YEOH",NA,NA,NA,NA,NA,NA,NA,11.366,11.366
"SOBRAL","Lia","w","POR","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",115,4.2,4.533,NA,8.733,"Lia_SOBRAL",NA,NA,11.7,NA,NA,12.066,8.733,10.633,43.132
"Smet","Liam de","m","BEL","8-11 Jun 2023","2023 Osijek Challenge Cup","final","Osijek, Croatia.",7,5.6,7.6,NA,13.2,"Liam de_Smet",NA,NA,NA,NA,13.4,NA,NA,NA,13.4
"RABIC","Liam","m","CRO","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",62,5.3,6.166,NA,11.466,"Liam_RABIC",NA,11.466,NA,NA,NA,NA,NA,NA,11.466
"Raz","Lihie","w","ISR","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel",6,5.2,7.467,NA,12.667,"Lihie_Raz",NA,NA,12.6835,NA,NA,12.375,11.517,11.167,47.7425
"RAZ","Lihie","w","ISR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",27,5.3,7.333,NA,12.633,"Lihie_RAZ",NA,NA,12.43325,NA,NA,12.9886666666667,11.108,11.34125,47.8711666666667
"COSMAN","Lilia","w","ROU","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",35,5.3,7.366,NA,12.666,"Lilia_COSMAN",NA,NA,NA,NA,NA,13.166,NA,12.666,25.832
